date,open,high,low,close,volume,price_change,p_change,ma5,v_ma5
2017-09-05,23.76,24.32,23.31,23.95,138987.19,0.19,0.8,24.504,202643.87
2017-09-04,24.45,24.45,23.3,23.76,244004.84,-1.28,-5.11,24.326,193036.87
2017-09-01,25.33,25.5,24.78,25.04,174311.09,-0.58,-2.26,24.274,168065.26
2017-08-31,24.16,25.88,23.78,25.62,259406.52,1.47,6.09,23.94,159122.44
2017-08-30,23.25,24.6,23.21,24.15,196509.73,1.09,4.73,23.34,134021.77
2017-08-29,23.45,23.85,23.04,23.06,90952.18,-0.44,-1.87,23.124,147623.61
2017-08-28,23.45,23.7,23.05,23.5,119146.78,0.13,0.56,23.382,221919.75
2017-08-25,22.5,23.6,22.5,23.37,129597.0,0.75,3.32,23.224,215737.21
2017-08-24,22.87,23.25,22.47,22.62,133903.14,-0.45,-1.95,23.03,220301.19
2017-08-23,23.9,24.06,22.85,23.07,264518.94,-1.28,-5.26,22.882,205077.23
2017-08-22,22.55,24.98,22.38,24.35,462432.88,1.64,7.22,22.646,166143.05
2017-08-21,22.6,22.88,22.14,22.71,88234.07,0.31,1.38,22.064,81846.87
2017-08-18,21.75,22.98,21.51,22.4,152416.92,0.52,2.38,21.822,72859.08
2017-08-17,21.8,22.05,21.65,21.88,57783.36,-0.01,-0.05,21.588,59709.77
2017-08-16,21.37,22.07,21.35,21.89,69848.0,0.45,2.1,21.622,68846.23
2017-08-15,21.52,21.68,21.34,21.44,40952.0,-0.06,-0.28,21.524,65875.63
2017-08-14,21.1,21.56,20.93,21.5,43295.1,0.27,1.27,21.568,67558.65
2017-08-11,21.85,22.09,21.1,21.23,86670.4,-0.82,-3.72,21.606,67295.81
2017-08-10,21.45,22.2,21.36,22.05,103465.63,0.65,3.04,21.658,67736.48
2017-08-09,21.62,21.62,21.23,21.4,54995.01,-0.26,-1.2,21.704,58930.45
2017-08-08,21.62,21.8,21.49,21.66,49367.1,-0.03,-0.14,21.802,63817.09
2017-08-07,21.6,21.97,21.49,21.69,41980.9,0.2,0.93,21.946,76882.78
2017-08-04,22.1,22.27,21.44,21.49,88873.78,-0.79,-3.55,22.166,97208.92
2017-08-03,22.18,22.46,21.99,22.28,59435.48,0.39,1.78,22.47,99453.13
2017-08-02,22.13,22.49,21.86,21.89,79428.17,-0.49,-2.19,22.566,107928.23
2017-08-01,22.65,23.18,22.3,22.38,114695.56,-0.41,-1.8,22.868,114097.89
2017-07-31,22.78,22.9,21.84,22.79,143611.59,-0.22,-0.96,23.132,124656.68
2017-07-28,22.6,23.36,22.5,23.01,100094.83,0.25,1.1,23.18,116592.45
2017-07-27,23.39,23.39,22.63,22.76,101811.01,-0.64,-2.73,23.218,128795.61
2017-07-26,23.53,23.92,22.85,23.4,110276.48,-0.3,-1.27,23.2,130237.86
2017-07-25,23.07,24.2,22.64,23.7,167489.48,0.67,2.91,23.042,137135.54
2017-07-24,22.8,23.79,22.63,23.03,103290.47,-0.17,-0.73,22.554,122676.77
2017-07-21,22.75,23.98,22.75,23.2,161110.59,0.53,2.34,22.142,137710.98
2017-07-20,22.52,23.1,22.36,22.67,109022.27,0.06,0.27,22.076,138279.69
2017-07-19,21.14,22.86,20.86,22.61,144764.88,1.35,6.35,22.236,151599.61
2017-07-18,20.63,21.58,20.63,21.26,95195.62,0.29,1.38,22.476,175155.77
2017-07-17,22.64,22.66,20.58,20.97,178461.53,-1.9,-8.31,22.67,207641.51
2017-07-14,23.28,24.29,22.8,22.87,163954.17,-0.6,-2.56,23.102,232640.92
2017-07-13,23.6,23.6,22.81,23.47,175621.84,-0.34,-1.43,22.79,222056.57
2017-07-12,22.26,23.95,22.26,23.81,262545.69,1.58,7.11,22.292,205545.87
2017-07-11,22.99,24.0,21.85,22.23,257624.34,-0.9,-3.89,21.732,177746.19
2017-07-10,21.11,23.44,21.06,23.13,303458.56,1.82,8.54,21.442,162290.45
2017-07-07,20.8,21.44,20.65,21.31,111032.43,0.33,1.57,21.212,136454.34
2017-07-06,20.86,21.19,20.69,20.98,93068.35,-0.03,-0.14,21.262,143812.95
2017-07-05,20.59,21.14,20.51,21.01,123547.26,0.23,1.11,21.414,154475.33
2017-07-04,21.97,21.99,20.75,20.78,180345.66,-1.2,-5.46,21.546,176393.3
2017-07-03,21.59,22.14,21.37,21.98,174278.0,0.42,1.95,21.83,198035.52
2017-06-30,21.6,21.74,21.13,21.56,147825.48,-0.18,-0.83,22.086,219634.25
2017-06-29,21.78,21.94,21.47,21.74,146380.23,0.07,0.32,22.442,277723.49
2017-06-28,22.2,22.37,21.41,21.67,233137.12,-0.53,-2.39,23.28,332782.16
2017-06-27,23.1,23.24,22.06,22.2,288556.75,-1.06,-4.56,23.66,327174.26
2017-06-26,23.3,23.87,22.57,23.26,282271.66,-0.08,-0.34,24.036,344263.97
2017-06-23,24.0,24.47,23.34,23.34,438271.69,-2.59,-9.99,23.884,333612.72
2017-06-22,23.32,25.93,23.26,25.93,421673.59,2.36,10.01,23.376,271087.94
2017-06-21,23.0,23.84,22.9,23.57,205097.59,-0.51,-2.12,22.232,206391.22
2017-06-20,23.75,24.45,22.22,24.08,374005.34,1.58,7.02,21.378,179471.78
2017-06-19,21.0,22.85,20.94,22.5,229015.38,1.7,8.17,20.386,117700.07
2017-06-16,20.41,21.78,20.41,20.8,125647.79,0.59,2.92,19.514,80103.66
2017-06-15,19.33,20.35,19.33,20.21,98190.0,0.91,4.71,19.168,64509.53
2017-06-14,19.31,19.91,19.11,19.3,70500.37,0.18,0.94,18.926,52996.68
2017-06-13,18.25,19.35,18.25,19.12,65146.83,0.98,5.4,18.926,49271.56
2017-06-12,18.8,18.8,18.1,18.14,41033.32,-0.93,-4.88,18.812,41699.02
2017-06-09,19.2,19.2,18.6,19.07,47677.14,0.07,0.37,18.922,45969.33
2017-06-08,19.35,19.5,18.93,19.0,40625.74,-0.3,-1.55,18.744,42548.78
2017-06-07,18.59,19.44,18.59,19.3,51874.76,0.75,4.04,18.532,41751.68
2017-06-06,18.74,18.8,18.4,18.55,27284.12,-0.14,-0.75,18.254,37990.75
2017-06-05,18.16,18.94,18.14,18.69,62384.89,0.51,2.81,18.098,40348.75
2017-06-02,18.15,18.19,17.65,18.18,30574.41,0.24,1.34,17.758,33411.29
2017-06-01,17.9,18.24,17.73,17.94,36640.23,0.03,0.17,17.486,34062.61
2017-05-31,17.85,18.25,17.8,17.91,33070.1,0.14,0.79,17.38,30396.62
2017-05-26,17.1,17.95,17.0,17.77,39074.11,0.78,4.59,17.346,26609.57
2017-05-25,16.95,17.15,16.84,16.99,27697.59,0.17,1.01,17.362,21427.78
2017-05-24,17.2,17.41,16.72,16.82,33831.04,-0.59,-3.39,17.524,18674.92
2017-05-23,17.75,17.99,17.36,17.41,18310.28,-0.33,-1.86,17.746,16508.19
2017-05-22,17.85,18.06,17.69,17.74,14134.85,-0.11,-0.62,17.804,17354.34
2017-05-19,17.81,18.07,17.8,17.85,13165.16,0.05,0.28,17.758,17451.66
2017-05-18,17.8,18.09,17.75,17.8,13933.25,-0.13,-0.72,17.708,21302.65
2017-05-17,17.87,18.29,17.75,17.93,22997.42,0.23,1.3,17.732,23642.78
2017-05-16,17.5,17.71,17.18,17.7,22541.04,0.19,1.08,17.81,22953.65
2017-05-15,17.3,17.76,17.3,17.51,14621.41,-0.09,-0.51,18.014,21531.92
2017-05-12,17.85,17.97,17.13,17.6,32420.13,-0.32,-1.79,18.216,22566.44
2017-05-11,18.35,18.35,17.51,17.92,25633.92,-0.4,-2.18,18.424,23012.48
2017-05-10,18.63,18.8,18.27,18.32,19551.74,-0.4,-2.14,18.662,21505.61
2017-05-09,18.53,18.83,18.48,18.72,15432.39,0.2,1.08,18.868,24145.61
2017-05-08,18.58,18.85,18.45,18.52,19794.03,-0.12,-0.64,19.0,26133.05
2017-05-05,19.1,19.24,18.5,18.64,34650.32,-0.47,-2.46,19.186,29887.3
2017-05-04,19.31,19.35,19.01,19.11,18099.59,-0.24,-1.24,19.206,30687.02
2017-05-03,19.28,19.65,19.11,19.35,32751.71,-0.03,-0.15,19.144,31779.1
2017-05-02,19.2,19.76,19.1,19.38,25369.62,-0.07,-0.36,19.024,29636.53
2017-04-28,18.87,19.5,18.75,19.45,38565.28,0.71,3.79,18.892,32564.74
2017-04-27,18.9,18.92,18.26,18.74,38648.9,-0.06,-0.32,18.928,30313.66
2017-04-26,18.85,19.0,18.55,18.8,23559.97,0.05,0.27,19.08,38185.12
2017-04-25,18.88,19.05,18.7,18.75,22038.9,0.03,0.16,19.366,54719.11
2017-04-24,19.58,19.58,18.7,18.72,40010.66,-0.91,-4.64,19.91,72634.6
2017-04-21,19.49,19.74,19.38,19.63,27309.89,0.13,0.67,20.334,75731.12
2017-04-20,20.07,20.16,19.21,19.5,78006.18,-0.73,-3.61,20.54,85289.69
2017-04-19,21.3,21.53,20.0,20.23,106229.9,-1.24,-5.78,20.926,85174.38
2017-04-18,20.61,21.78,20.52,21.47,111616.35,0.63,3.02,21.162,92479.1
2017-04-17,20.67,21.54,20.43,20.84,55493.28,0.18,0.87,21.0,87731.13
2017-04-14,21.21,21.42,20.51,20.66,75102.73,-0.77,-3.59,20.978,109186.24
2017-04-13,21.3,21.8,21.02,21.43,77429.64,0.02,0.09,21.228,127754.18
2017-04-12,20.26,22.66,20.26,21.41,142753.48,0.75,3.63,21.104,125346.56
2017-04-11,20.36,20.86,20.03,20.66,87876.53,-0.07,-0.34,21.02,119276.96
2017-04-10,21.3,21.4,19.72,20.73,162768.84,-1.18,-5.39,20.824,106592.83
2017-04-07,20.81,22.36,20.81,21.91,167942.41,1.1,5.29,20.66,83476.54
2017-04-06,21.0,21.26,20.65,20.81,65391.54,-0.18,-0.86,20.212,54285.56
2017-04-05,19.73,21.58,19.73,20.99,112405.49,1.31,6.66,19.99,44960.74
2017-03-31,19.9,19.96,19.61,19.68,24455.88,-0.23,-1.16,19.744,30204.73
2017-03-30,19.68,20.17,19.63,19.91,47187.37,0.24,1.22,19.8,34900.28
2017-03-29,19.8,19.94,19.56,19.67,21987.51,-0.03,-0.15,19.718,36323.14
2017-03-28,19.78,19.84,19.54,19.7,18767.43,-0.06,-0.3,19.762,39156.98
2017-03-27,19.91,20.27,19.64,19.76,38625.45,-0.2,-1.0,19.89,41346.67
2017-03-24,19.5,20.17,19.35,19.96,47933.66,0.46,2.36,20.034,38662.81
2017-03-23,19.88,20.16,19.28,19.5,54301.64,-0.39,-1.96,20.126,36322.24
2017-03-22,20.19,20.24,19.88,19.89,36156.71,-0.45,-2.21,20.34,32878.04
2017-03-21,20.47,20.55,20.18,20.34,29715.91,-0.14,-0.68,20.478,30423.55
2017-03-20,20.4,20.62,20.21,20.48,25206.15,0.06,0.29,20.588,32853.71
2017-03-17,20.6,20.78,20.32,20.42,36230.77,-0.15,-0.73,20.648,42950.37
2017-03-16,20.6,20.78,20.5,20.57,37080.64,-0.01,-0.05,20.786,42204.56
2017-03-15,20.8,20.87,20.57,20.58,23884.3,-0.31,-1.48,20.858,39642.87
